,Country,Happiness.Rank,Happiness.Score,CountryName,CapitalLatitude,CapitalLongitude,Visits
0,Finland,5.0,7.468999862670901,Finland,60.16666666666666,24.933332999999998,9936572
1,Australia,10.0,7.28399991989136,Australia,-35.266666666666666,149.133333,11580130
2,Ireland,15.0,6.9770002365112305,Ireland,53.31666666666667,-6.233333,6805072
3,Belgium,17.0,6.89099979400635,Belgium,50.83333333333334,4.3333330000000005,5541409
4,Ecuador,44.0,6.00799989700317,Ecuador,-0.21666666666666667,-78.5,2788249
5,El Salvador,45.0,6.002999782562259,El Salvador,13.7,-89.2,659567
6,Hungary,75.0,5.32399988174438,Hungary,47.5,19.083333,22625489
7,Dominican Republic,86.0,5.230000019073491,Dominican Republic,18.466666666666665,-69.9,393571
8,Honduras,91.0,5.1810002326965305,Honduras,14.1,-87.216667,932598
9,Egypt,104.0,4.7350001335144,Egypt,30.05,31.25,6432715
10,Bulgaria,105.0,4.71400022506714,Bulgaria,42.68333333333333,23.316667000000002,594934
11,Georgia,125.0,4.28599977493286,Georgia,41.68333333333333,44.833333,27000
12,Cambodia,129.0,4.1680002212524405,Cambodia,11.55,104.91666699999999,13000
13,Benin,143.0,3.65700006484985,Benin,6.4833333333333325,2.6166669999999996,11953
14,Burundi,154.0,2.90499997138977,Burundi,-3.3666666666666667,29.35,5400
